section,garment_category,slug,name,fabric_and_colour,flatlay_prompt,styling
"Womenswear","womenswear","broderie-midi-dress","Broderie anglaise tiered midi dress","Ivory cotton broderie anglaise","Women's tiered midi dress, scooped neck, short ruffled cap sleeves, dropped waist into two gathered broderie tiers, hidden back zip; crisp ivory cotton broderie anglaise with dense floral eyelet cut-work throughout and scalloped tier hems; laid flat and symmetrical on taupe-grey #EDEAE4, skirt fanned to show both tiers and the scalloped edge, sleeves laid straight, one soft fold in the upper skirt; focus on the eyelet cut-work and the shadow through the holes, the scalloped hems, and the sleeve ruffle.","Down with tan leather ballet flats and the raffia tote for day; up with a cognac woven belt at the dropped seam and suede mules. Bare and sun-warmed, no tights."
"Womenswear","womenswear","satin-lace-slip","Satin-lace slip dress","Blush satin with tonal lace","Women's bias-cut camisole slip dress, V-neck, fine adjustable straps, lace inset along the bust and hem, fluid column to midi length; liquid blush-pink satin with tonal leavers-lace trim; laid flat on the bias on bone #F4F2ED, body straight with the satin pooling into two or three high-sheen folds, straps laid neat, hem lace fanned open; focus on wet satin sheen against matte lace, the delicate strap sliders, and the scalloped lace edge.","Layer over a bone ribbed knit for day, or solo under the camel coat at night with black ballet flats. The lingerie-dressing piece."
"Womenswear","womenswear","floral-georgette-maxi","Floral georgette beaded maxi","Kaleidoscopic floral georgette","Women's fluid maxi dress, surplice V-neck, blouson long sleeves with elastic cuffs, gathered waist seam, full sweeping skirt; featherweight georgette in a painterly kaleidoscopic floral of terracotta, plum, olive and ink blooms on a bone ground, with fine beaded embroidery scattered at the neckline; laid flat on bone #F4F2ED, skirt fanned wide to read the full print repeat, sleeves laid down, neckline opened to show the beadwork; focus on print clarity and colour, the catch of light on beads, and the sheer georgette layering. This is the one saturated multi-colour piece in the line.","The print is the event, so everything else whispers - tan ballet flats, raffia tote, hair back. Evening: suede mules and the silk-blend scarf tied at the wrist."
"Womenswear","womenswear","polka-silk-blouse","Tonal polka silk blouse","Storm-grey sandwashed silk with bone dots","Women's fluid blouse, soft tie-neck pussybow, full blouson sleeves, button placket, relaxed body; sandwashed silk in storm grey with tonal bone polka dots that are quiet rather than high-contrast; laid flat on bone #F4F2ED, body relaxed, the neck tie laid in a soft loose loop above the collar, sleeves down with a gentle fold; focus on the matte sandwashed silk hand, the even dot repeat, and the drape of the tie.","Into the ecru wide-leg jean with the woven belt, or under the camel coat with linen trousers. Pussybow loose, never prim."
"Womenswear","womenswear","ruffle-linen-blouse","Ruffle-trim linen blouse","Ivory washed linen with lace ruffle","Women's relaxed linen blouse, round neck, ruffled lace-trim at the neckline and cuffs, button back, slightly cropped; washed linen in ivory with a fine cotton-lace ruffle; laid flat on taupe-grey #EDEAE4, body relaxed with characteristic linen creasing, ruffle fanned at the neck and one cuff turned to show the lace, sleeves straight; focus on the slubby linen weave and natural crush, the delicate ruffle and lace edge, and mother-of-pearl back buttons.","With the embroidered midi skirt and ballet flats for a tonal ivory look, or tucked into khaki linen trousers. Romantic but undone."
"Womenswear","womenswear","pointelle-cardigan","Pointelle button cardigan","Oat cotton-linen pointelle knit","Women's slim cropped cardigan, round neck, full button placket with mother-of-pearl buttons, ribbed trims, openwork pointelle stitch panels; fine cotton-linen knit in oat with visible pointed-eyelet pointelle texture; laid flat and buttoned on taupe-grey #EDEAE4, sleeves straight, gentle relaxed folds, neckline holding shape; focus on the openwork pointelle pattern, the fine gauge, and pearl buttons catching the light.","Buttoned alone as a top with the wide-leg jean, or open over the satin slip dress. The throw-on layer that makes a slip dress daytime."
"Womenswear","womenswear","embroidered-midi-skirt","Embroidered flare midi skirt","Ecru cotton with self-tone embroidery","Women's high-waist A-line midi skirt, flared sweep, side zip, tonal floral broderie embroidery rising from the hem; crisp ecru cotton with self-tone embroidery and a scalloped hem; laid flat on bone #F4F2ED, waistband flat at top, skirt fanned to a clean half-circle showing the embroidery gradient and the scalloped hem; focus on the raised self-tone stitch-work, the scalloped edge, and the clean A-line sweep.","With the ruffle linen blouse tucked, the woven belt, and tan ballet flats. Tonal ecru head to toe - quiet but not boring."
"Womenswear","womenswear","wide-leg-jean","Ecru wide-leg high-rise jean","Undyed ecru rigid denim","Women's high-rise wide-leg jean, clean five-pocket, long full leg with a slight puddle, button-fly, belt loops; rigid undyed ecru denim with visible warp texture and tonal topstitching; laid flat on bone #F4F2ED, legs straight, wide and parallel, waistband flat at top, slight relaxed fold at the knee; focus on the rigid denim grain, the tonal stitching, the unbranded hardware, and the volume of the leg.","With the tonal polka blouse half-tucked and the woven belt, or the pointelle cardigan buttoned. Ballet flats or the low-profile trainer. Easy weekend volume."
"Womenswear","womenswear","linen-trouser","Relaxed linen trouser","Khaki linen-viscose","Women's relaxed straight-leg trouser, mid-high rise, single soft pleat, slant pockets, clean waistband; khaki linen-viscose with a fluid drape; laid flat on bone #F4F2ED, legs straight and parallel, soft pleat aligned, natural linen creasing through the leg; focus on the fluid linen drape and crush, the soft pleat, and the clean waistband.","With the butter polo shirt tucked and the raffia tote, or the silk slip worn as a cami over the waistband. Holiday tailoring."
"Womenswear","womenswear","polo-linen-shirt","Linen polo-collar shirt","Butter-yellow linen blend","Women's relaxed short-sleeve shirt with a ribbed polo collar and three-button placket, boxy fit, patch chest pocket; butter-yellow linen-blend, soft matte, with ribbed collar and cuff trims; laid flat on taupe-grey #EDEAE4, boxy and square, collar opened, sleeves straight, one soft fold; focus on the ribbed knit collar against the woven linen body, the butter-yellow tone, and horn buttons.","With the khaki linen trouser or the ecru wide-leg jean, raffia tote, ballet flats. The one warm pop of colour in a neutral rail."
"Womenswear","accessories","raffia-tote","Raffia tote","Natural raffia with tan leather","Large woven raffia tote, twin tan-leather top handles, open top, leather base trim; natural straw raffia with tan leather handles and trim; stood-then-laid flat-on on bone #F4F2ED, body squared, handles arranged symmetrically up and out, slight interior shadow; focus on the woven straw texture, the leather handle stitching, and natural fibre tone variation.","The summer counterpart to the structured chestnut tote - carry with the broderie dress or linen trousers. Beach to town."
"Womenswear","footwear","leather-ballet-flat","Leather ballet flat","Tan nappa leather","A matched pair of leather ballet flats, low-cut topline, small bow, slim sole, soft round toe; tan soft nappa leather with a low natural sheen; the pair laid flat side by side on taupe-grey #EDEAE4, toes up, parallel, soft and slightly slouched to show the flexible upper; focus on the supple nappa grain, the clean topline, the fine sole edge, and the soft collapse of the unstructured shoe.","The SS26 it-shoe - runs under every dress, skirt and the wide jean. Replaces the derby and Chelsea as the warm-weather default."
"Menswear","menswear","linen-camp-shirt","Linen camp-collar shirt","Butter-yellow washed linen","Men's short-sleeve camp-collar (Cuban) shirt, open one-piece notched collar, full button placket, boxy relaxed fit, patch chest pocket; washed butter-yellow linen, soft matte with natural slubs; laid flat and buttoned on taupe-grey #EDEAE4, boxy and square, camp collar opened flat and symmetrical, short sleeves laid straight, one soft fold at the hem; focus on the open camp-collar shape, the slubby weave and creasing, corozo buttons, and the butter tone.","With pleated linen shorts (khaki) and suede tassel loafers for resort, or tucked into the wide drawcord trouser (stone). Collar open. The one warm colour pop on the men's rail."
"Menswear","menswear","knitted-polo","Knitted polo shirt","Sage cotton-silk knit","Men's short-sleeve fine-gauge knitted polo, three-button placket, flat ribbed collar, ribbed sleeve cuffs, slim-relaxed body; 14-gauge cotton-silk knit in sage with a subtle sheen; laid flat on bone #F4F2ED, collar set neatly, placket buttoned to two, sleeves straight, gentle relaxed folds, hem flat; focus on the fine knit gauge, the ribbed collar and cuff texture, the soft yarn sheen, and tonal buttons.","Tucked into the pleated shorts or wide trouser with suede loafers; under the olive chore overshirt when cooler. Retro-leaning, very SS26."
"Menswear","menswear","crochet-knit-shirt","Crochet open-knit shirt","Ecru cotton crochet","Men's short-sleeve open crochet-knit shirt, camp collar, full button placket, boxy fit, see-through crochet texture; ecru cotton crochet open-knit with a visible lattice and a slightly heavier hand; laid flat and buttoned on taupe-grey #EDEAE4, boxy, collar open, sleeves straight, the open lattice casting a soft shadow on the ground beneath; focus on the crochet lattice pattern and the shadow it throws, the ribbed trims, and the tonal ecru.","Over a plain tank with the relaxed ecru jean, or with linen shorts and fisherman sandals. Holiday texture; show some skin."
"Menswear","menswear","stripe-resort-shirt","Fine-stripe resort shirt","Storm-on-bone striped viscose-linen","Men's short-sleeve camp-collar resort shirt, boxy, full placket, patch pocket; lightweight viscose-linen in a fine vertical stripe of storm-grey on bone (tonal, not navy on white); laid flat on bone #F4F2ED, boxy, collar open, sleeves straight, the stripe running true and aligned across placket and pocket; focus on stripe alignment at the pocket and placket, the fluid drape, and the matte finish.","With the pleated shorts or wide trouser; the men's answer to the women's polka. Keep everything else plain."
"Menswear","menswear","pleated-linen-short","Pleated linen shorts","Khaki linen-cotton","Men's mid-thigh pleated shorts, single forward pleat, mid rise, slant pockets, clean hem, button and zip fly; khaki linen-cotton, fluid with natural creasing; laid flat on bone #F4F2ED, legs straight and parallel, pleats aligned, waistband flat at top, soft fold at the hem; focus on the soft pleat, the linen crush, and the clean waistband and pocket bags.","With the camp shirt (butter) or knitted polo (sage) and suede loafers or fisherman sandals. Tailored holiday."
